report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
83,21,2.640942,2.6805529999999997,2.6805529999999997,2.6045010000000004,2.680555,2.607767,2.6137089999999996,2.681359,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.3,2.0,3.0,7.9,7.0,7.9,7.6
84,19,2.784687,2.759475,2.759475,2.799066,2.759475,2.8000100000000003,2.799813,2.758848,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.928,6.2,2.0,3.0,7.6,7.0,7.6,7.6
85,20,2.82852,2.82852,2.82852,2.839917,2.831283,2.829692,2.802708,2.82815,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.876,6.2,2.0,3.0,7.6,6.9,7.6,7.7
86,21,2.8999050000000004,2.9,2.9,2.90003,2.8999989999999998,2.899942,2.900086,2.8999989999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.884,6.25,2.0,2.9,7.8,6.9,7.8,7.9
87,21,2.943815,2.926602,2.926603,2.946306,2.9256379999999997,2.943829,2.946029,2.926611,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.3,2.0,3.0,8.0,6.9,8.0,8.2
88,21,2.8,2.8,2.7999989999999997,2.8,2.8,2.7999929999999997,2.799985,2.8,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.4,2.0,2.9,8.1,7.0,8.1,7.9
89,20,2.700018,2.6999989999999996,2.7,2.6999989999999996,2.7000010000000003,2.7,2.700011,2.70012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,3.0,7.7,6.9,7.7,7.6
90,19,2.7999560000000003,2.7999989999999997,2.7999989999999997,2.800026,2.7999989999999997,2.799992,2.800021,2.8,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.836,6.2,2.0,3.0,7.6,6.9,7.6,7.8
91,22,3.1143490000000003,3.114348,3.1139740000000002,3.109792,3.1041,3.1061509999999997,3.10454,3.108985,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.882,6.2,2.0,3.0,8.0,6.8,8.0,8.1
92,23,3.1252,3.1251990000000003,3.1242460000000003,3.116568,3.1204140000000002,3.106957,3.135464,3.116933,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,2.9,8.0,6.8,8.0,8.1
