report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
101,20,2.881024,2.846318,2.850678,2.871968,2.844833,2.878813,2.846261,2.88761,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.123,5.95,2.0,3.6,7.1,6.1,7.1,7.2
102,20,2.899988,2.8999989999999998,2.9000529999999998,2.8999430000000004,2.9,2.899985,2.9,2.9001729999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,6.0,2.0,3.6,7.2,6.1,7.2,7.4
103,22,3.000025,3.000001,2.999999,3.000053,3.0,2.999964,3.00001,3.000028,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.131,6.05,2.0,3.6,7.4,6.2,7.4,7.6
104,22,3.020817,3.058502,3.058502,3.0270659999999996,3.059449,3.000362,3.004127,3.000229,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.129,6.15,2.0,3.6,7.7,6.4,7.7,7.9
105,22,3.1089,3.124596,3.124595,3.112731,3.125025,3.1045599999999998,3.101223,3.104906,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.758,6.25,2.0,3.6,7.9,6.4,7.9,8.1
106,22,3.100505,3.100701,3.100701,3.101505,3.100714,3.100821,3.100645,3.101149,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.25,2.0,3.6,8.1,6.7,8.1,8.1
107,22,2.826686,2.867196,2.8657130000000004,2.869408,2.80152,2.800129,2.802701,2.80096,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.2,2.0,3.6,7.7,6.7,7.7,7.2
108,21,2.908124,2.9292779999999996,2.900153,2.9017660000000003,2.928087,2.9043780000000003,2.928089,2.9002399999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,3.6,7.5,6.6,7.5,7.7
109,21,3.099663,3.098309,3.098309,3.0997049999999997,3.099589,3.099671,3.099781,3.0997109999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,3.6,7.6,6.6,7.6,7.8
110,23,3.188643,3.135781,3.135781,3.1700720000000002,3.135632,3.169698,3.173661,3.156163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.25,2.0,3.6,7.9,6.6,7.9,8.0
111,22,3.107969,3.1140410000000003,3.114042,3.105309,3.1143069999999997,3.103761,3.10349,3.107274,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.535,6.25,2.0,3.6,8.1,6.7,8.1,8.1
112,22,2.801079,2.804088,2.804088,2.800279,2.8041840000000002,2.800387,2.800334,2.800522,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,3.6,7.7,6.7,7.7,7.5
113,21,2.930557,2.9619609999999996,2.960037,2.903369,2.960069,2.900197,2.903031,2.901334,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.861,6.15,2.0,3.6,7.5,6.7,7.5,7.6
114,21,3.100028,3.100002,3.1,3.100146,3.1000010000000002,3.099994,3.0999899999999996,3.100007,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.15,2.0,3.6,7.6,6.7,7.6,7.8
115,22,3.099962,3.1,3.099994,3.100061,3.1,3.099996,3.1,3.100074,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.25,2.0,3.6,7.8,6.7,7.8,8.0
116,23,3.103642,3.110191,3.102563,3.1034409999999997,3.110191,3.101992,3.110529,3.104972,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.342,6.3,2.0,3.6,8.0,6.7,8.0,8.1
117,21,3.0208980000000003,3.044966,3.000128,3.000009,3.044966,3.000003,3.008491,3.0454,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.25,2.0,3.6,7.7,6.8,7.7,7.6
118,22,3.099944,3.1,3.099999,3.100475,3.1,3.099974,3.100007,3.100074,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.25,2.0,3.6,7.8,6.8,7.8,8.0
119,23,3.1031210000000002,3.107147,3.1149180000000003,3.125904,3.107147,3.0947750000000003,3.106738,3.122225,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.237,6.3,2.0,3.6,8.0,6.8,8.0,8.1
120,22,2.9824810000000004,2.951403,2.981455,2.991873,2.942316,2.978974,2.9513339999999997,2.951586,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.25,2.0,3.6,7.9,6.8,7.9,7.8
./benchmark:19:in `digest': Interrupt
	from ./benchmark:19:in `digest'
	from ./benchmark:19:in `hexdigest'
	from ./benchmark:19:in `waste_cpu'
	from ./benchmark:102:in `block in <main>'
	from ./benchmark:100:in `each'
	from ./benchmark:100:in `<main>'
